조사시작,중간날짜,조사끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리당_1,더불어민주당_1,국민의당_1,정의당_1,무소속1_1,무소속2_1,무소속3_1,DK,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-03-27,2016-03-07,2016-03-27,강원,강릉시,강원강릉시,0.551,0.175,0.000,0.000,0.000,0.000,0.000,0.759,0.241,0.000,0.000,0.000,0.000,0.000,0.274,코리아리서치센터,춘천KBS·춘천MBC·G1강원민방,유선RDD,ARS,502,2.1,2.3,3
2016-04-04,2016-04-05,2016-04-05,강원,강릉시,강원강릉시,0.529,0.237,0.000,0.000,0.000,0.000,0.000,0.691,0.309,0.000,0.000,0.000,0.000,0.000,0.234,코리아리서치센터,"춘천KBS·춘천MBC·G1강원민방,강원일보",유선RDD,ARS,1000,1.6,2.45,3
2016-03-31,2016-04-01,2016-04-01,강원,동해시삼척시,강원동해시삼척시,0.292,0.183,0.000,0.000,0.296,0.000,0.000,0.379,0.237,0.000,0.000,0.384,0.000,0.000,0.229,마크로밀엠브레인,YTN,유무선혼합RDD,ARS,527,1.7,2.45,3
2016-03-27,2016-03-27,2016-03-27,강원,동해시삼척시,강원동해시삼척시,0.300,0.150,0.000,0.000,0.321,0.000,0.000,0.389,0.195,0.000,0.000,0.416,0.000,0.000,0.229,코리아리서치센터,춘천KBS·춘천MBC·G1강원민방,유선RDD,ARS,1025,3.7,2.1,3
2016-03-31,2016-04-01,2016-04-01,강원,동해시삼척시,강원동해시삼척시,0.292,0.183,0.000,0.000,0.296,0.000,0.000,0.379,0.237,0.000,0.000,0.384,0.000,0.000,0.229,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,510,15.4,1.2,2
2016-04-03,2016-04-04,2016-04-04,강원,동해시삼척시,강원동해시삼척시,0.272,0.109,0.000,0.000,0.405,0.000,0.000,0.346,0.139,0.000,0.000,0.515,0.000,0.000,0.214,코리아리서치센터,"춘천KBS·춘천MBC·G1강원민방,강원일보",유선RDD,전화면접,500,14.9,1.58,3
2016-03-27,2016-03-27,2016-03-27,강원,태백시횡성군영월군평창군정선군,강원태백시횡성군영월군평창군정선군,0.367,0.106,0.000,0.000,0.255,0.000,0.000,0.504,0.146,0.000,0.000,0.350,0.000,0.000,0.272,코리아리서치센터,춘천KBS·춘천MBC·G1강원민방,유선RDD,전화면접,500,17.9,2.46,2
2016-03-25,2016-03-26,2016-03-26,강원,태백시횡성군영월군평창군정선군,강원태백시횡성군영월군평창군정선군,0.346,0.078,0.000,0.000,0.222,0.000,0.000,0.536,0.121,0.000,0.000,0.344,0.000,0.000,0.354,강원도민일보부설강원사회조사연구소,강원도민일보,유선RDD,전화면접,500,16.9,1.66,3
2016-04-04,2016-04-05,2016-04-05,강원,태백시횡성군영월군평창군정선군,강원태백시횡성군영월군평창군정선군,0.356,0.114,0.000,0.000,0.293,0.000,0.000,0.467,0.149,0.000,0.000,0.384,0.000,0.000,0.237,코리아리서치센터,"춘천KBS·춘천MBC·G1강원민방,강원일보",유선RDD,전화면접,500,17.9,2.2,3
2016-03-28,2016-03-28,2016-03-28,강원,속초시고성군양양군,강원속초시고성군양양군,0.376,0.079,0.000,0.000,0.135,0.000,0.000,0.637,0.134,0.000,0.000,0.229,0.000,0.000,0.410,강원도민일보부설강원사회조사연구소,강원도민일보,유선RDD,전화면접,505,29.3,1.59,3
2016-03-27,2016-03-28,2016-03-28,강원,속초시고성군양양군,강원속초시고성군양양군,0.501,0.057,0.000,0.000,0.153,0.000,0.000,0.705,0.080,0.000,0.000,0.215,0.000,0.000,0.289,코리아리서치센터,춘천KBS·춘천MBC·G1강원민방,유선RDD,전화면접,500,23.1,1.86,2
2016-04-04,2016-04-05,2016-04-05,강원,속초시고성군양양군,강원속초시고성군양양군,0.551,0.187,0.000,0.000,0.000,0.000,0.000,0.747,0.253,0.000,0.000,0.000,0.000,0.000,0.262,코리아리서치센터,"춘천KBS·춘천MBC·G1강원민방,강원일보",유선RDD,전화면접,500,21.3,2.12,3
2016-03-27,2016-03-27,2016-03-27,강원,홍천군철원군화천군양구군인제군,강원홍천군철원군화천군양구군인제군,0.430,0.225,0.000,0.000,0.088,0.000,0.000,0.579,0.303,0.000,0.000,0.118,0.000,0.000,0.257,코리아리서치센터,춘천KBS·춘천MBC·G1강원민방,유선RDD,전화면접,500,27.1,2.3,2
2016-03-25,2016-03-26,2016-03-26,강원,홍천군철원군화천군양구군인제군,강원홍천군철원군화천군양구군인제군,0.381,0.137,0.000,0.000,0.071,0.000,0.000,0.647,0.233,0.000,0.000,0.121,0.000,0.000,0.411,강원도민일보부설강원사회조사연구소,강원도민일보,유선RDD,전화면접,500,24,2.48,3
2016-03-31,2016-04-01,2016-04-01,강원,홍천군철원군화천군양구군인제군,강원홍천군철원군화천군양구군인제군,0.431,0.228,0.000,0.000,0.083,0.000,0.000,0.581,0.307,0.000,0.000,0.112,0.000,0.000,0.258,중앙일보조사연구팀/엠브레인,중앙일보,유무선혼합RDD,전화면접,511,21.6,1.38,3
2016-04-04,2016-04-05,2016-04-05,강원,홍천군철원군화천군양구군인제군,강원홍천군철원군화천군양구군인제군,0.469,0.185,0.000,0.000,0.114,0.000,0.000,0.611,0.241,0.000,0.000,0.148,0.000,0.000,0.232,코리아리서치센터,"춘천KBS·춘천MBC·G1강원민방,강원일보",유선RDD,전화면접,500,25.4,1.61,2
