"","date","region","party","mean_rate","lower_rate","upper_rate","mu","sd","win_prob"
"1",2016-03-10,"세종세종특별자치시","새누리당",44.3731499361051,44.0227519758121,44.7381829108347,44.3718513573045,0.0913891504526094,1
"2",2016-03-11,"세종세종특별자치시","새누리당",44.3884810393539,41.1747334756549,47.4436776490463,44.3971652360136,0.819545778797434,1
"3",2016-03-12,"세종세종특별자치시","새누리당",44.3707597353375,39.8792591833825,48.8252782400102,44.3802652875064,1.13737575360039,0.9998
"4",2016-03-13,"세종세종특별자치시","새누리당",44.3512486948245,39.4650126680147,49.5000901567594,44.347332183819,1.33285417390871,0.9994
"5",2016-03-14,"세종세종특별자치시","새누리당",44.3024955138902,38.9296914310093,51.021862263937,44.2963846614269,1.45345696809884,0.9981
"6",2016-03-15,"세종세종특별자치시","새누리당",44.2447249866941,38.2860098852196,50.1907033966059,44.2404253676402,1.56480596544289,0.9965
"7",2016-03-16,"세종세종특별자치시","새누리당",44.1504097540123,37.8951024974652,52.2497800682772,44.1492204511235,1.64375673952957,0.9954
"8",2016-03-17,"세종세종특별자치시","새누리당",44.1181730347868,37.6205013708323,51.105389921906,44.1305802201676,1.72210658480006,0.9931
"9",2016-03-18,"세종세종특별자치시","새누리당",44.0578999068778,37.221520137104,50.8322582662005,44.0947227521225,1.73122692424264,0.9941
"10",2016-03-19,"세종세종특별자치시","새누리당",43.9907716339581,36.8090851262908,50.5532362868385,44.0193243380099,1.75803373290191,0.994
"11",2016-03-20,"세종세종특별자치시","새누리당",44.0338135131138,37.579594613809,51.494063618534,44.0107947257453,1.74004370647825,0.9952
"12",2016-03-21,"세종세종특별자치시","새누리당",43.9933192981633,38.1959117466898,50.4807128628826,43.9910480783834,1.67893336688451,0.9962
"13",2016-03-22,"세종세종특별자치시","새누리당",43.9404995849068,37.4110682526801,49.9210526620192,43.9361328147702,1.61328181652942,0.9984
"14",2016-03-23,"세종세종특별자치시","새누리당",43.8397018594094,38.5827099752398,49.4028102518905,43.8446155803384,1.47261182889149,0.9993
"15",2016-03-24,"세종세종특별자치시","새누리당",43.8220880370076,39.1413100665786,49.0581181125598,43.7947356272486,1.28457380322372,0.9998
"16",2016-03-25,"세종세종특별자치시","새누리당",43.6507275356547,38.560754972967,48.7268290688564,43.6364369203906,1.2977902204698,0.9998
"17",2016-03-26,"세종세종특별자치시","새누리당",43.5362312297283,38.6848350276225,47.6953446360498,43.507860771602,1.18379285928293,1
"18",2016-03-27,"세종세종특별자치시","새누리당",43.4219123990284,38.7825810658297,47.7013246030035,43.4233157662755,1.21090591401997,0.9998
"19",2016-03-28,"세종세종특별자치시","새누리당",43.3321015746316,39.5347737909525,47.3750537422246,43.3446284364484,1.10631401581103,0.9998
"20",2016-03-29,"세종세종특별자치시","새누리당",43.3518859562561,39.4997935344628,47.7772864677792,43.3309516300239,0.968895373505875,1
"21",2016-03-30,"세종세종특별자치시","새누리당",43.6790034802888,40.2799451436332,47.0664887695189,43.6864082411064,0.893058746018803,1
"22",2016-03-31,"세종세종특별자치시","새누리당",44.0471888122963,40.9750377452081,47.4016625998987,44.0541937352239,0.874580174123179,1
"23",2016-04-01,"세종세종특별자치시","새누리당",43.9886249604752,40.5542125174756,47.2560321362253,44.0015391508129,0.844888303836344,1
"24",2016-04-02,"세종세종특별자치시","새누리당",44.4865320774627,41.0891582789127,48.1349765643358,44.4726870464577,0.89717654223337,1
"25",2016-04-03,"세종세종특별자치시","새누리당",44.5325153285305,41.5636114347724,48.3403546973704,44.5430853853336,0.889445410600439,1
"26",2016-04-04,"세종세종특별자치시","새누리당",44.0455688533131,40.4840656815092,47.4543781299326,44.046883286731,0.922022924301484,0.9999
"27",2016-04-05,"세종세종특별자치시","새누리당",43.7687252223382,39.8200355303527,47.3813948443128,43.7500143025432,0.984936711153707,0.9917
"28",2016-04-06,"세종세종특별자치시","새누리당",43.436952338289,40.4787104619539,46.2645098476887,43.4345614671796,0.761064154099765,0.9735
"29",2016-03-10,"세종세종특별자치시","민주당",9.90305939938532,9.54428971405265,10.2144406645237,9.90360791649269,0.0844907706453458,0
"30",2016-03-11,"세종세종특별자치시","민주당",10.0211411120599,7.19341090315872,12.7317064694924,10.0153328904101,0.757626950262334,0
"31",2016-03-12,"세종세종특별자치시","민주당",10.1484400054705,6.14882087713972,14.2570905311827,10.1511648690159,1.02818589664661,0
"32",2016-03-13,"세종세종특별자치시","민주당",10.233776009228,6.27149765941139,15.0033264665076,10.2470490019048,1.17806337025923,0
"33",2016-03-14,"세종세종특별자치시","민주당",10.381556370884,5.39245027044522,16.2471564932221,10.3658393087,1.34761643183702,0
"34",2016-03-15,"세종세종특별자치시","민주당",10.5383479342007,4.21430293367641,16.3556893241096,10.5328425368355,1.49834828381191,0
"35",2016-03-16,"세종세종특별자치시","민주당",10.6593552826408,4.72226010700205,17.0311109438442,10.6333087826157,1.55195788502236,0
"36",2016-03-17,"세종세종특별자치시","민주당",10.7248471445993,4.1887810346846,17.1632063709626,10.7522661205473,1.58925364508553,0
"37",2016-03-18,"세종세종특별자치시","민주당",10.8850948638183,5.10544056194879,16.9486022092805,10.8736123533908,1.57038955815117,0
"38",2016-03-19,"세종세종특별자치시","민주당",11.001663822474,5.24733916357488,16.9606606621613,10.98950630475,1.60322826980167,0
"39",2016-03-20,"세종세종특별자치시","민주당",11.1169676497225,4.59454161773024,16.9361156690061,11.1253986336006,1.59961826059586,0
"40",2016-03-21,"세종세종특별자치시","민주당",11.1840310873079,6.21334728109823,17.1863185506169,11.2089742933404,1.52095197106518,0
"41",2016-03-22,"세종세종특별자치시","민주당",11.355844073697,6.41934687090479,16.7635828653551,11.33510612688,1.41318289944238,0
"42",2016-03-23,"세종세종특별자치시","민주당",11.4899417457342,6.54286504609616,16.487401650714,11.4572350219154,1.25497256127938,0
"43",2016-03-24,"세종세종특별자치시","민주당",11.5146135269695,7.62044981732809,14.9883847627419,11.5197689019814,1.0011863767625,0
