"","date","region","party","win_prob"
"1",2016-03-10,"세종세종특별자치시","새누리당",1
"2",2016-03-10,"세종세종특별자치시","민주당",0
"3",2016-03-10,"세종세종특별자치시","국민의당",0
"4",2016-03-10,"세종세종특별자치시","무소속1",0
"5",2016-03-11,"세종세종특별자치시","새누리당",1
"6",2016-03-11,"세종세종특별자치시","민주당",0
"7",2016-03-11,"세종세종특별자치시","국민의당",0
"8",2016-03-11,"세종세종특별자치시","무소속1",0
"9",2016-03-12,"세종세종특별자치시","새누리당",0.9999
"10",2016-03-12,"세종세종특별자치시","민주당",0
"11",2016-03-12,"세종세종특별자치시","국민의당",0
"12",2016-03-12,"세종세종특별자치시","무소속1",1e-04
"13",2016-03-13,"세종세종특별자치시","새누리당",0.9989
"14",2016-03-13,"세종세종특별자치시","민주당",0
"15",2016-03-13,"세종세종특별자치시","국민의당",0
"16",2016-03-13,"세종세종특별자치시","무소속1",0.0011
"17",2016-03-14,"세종세종특별자치시","새누리당",0.9954
"18",2016-03-14,"세종세종특별자치시","민주당",0
"19",2016-03-14,"세종세종특별자치시","국민의당",0
"20",2016-03-14,"세종세종특별자치시","무소속1",0.0046
"21",2016-03-15,"세종세종특별자치시","새누리당",0.993
"22",2016-03-15,"세종세종특별자치시","민주당",0
"23",2016-03-15,"세종세종특별자치시","국민의당",0
"24",2016-03-15,"세종세종특별자치시","무소속1",0.007
"25",2016-03-16,"세종세종특별자치시","새누리당",0.9938
"26",2016-03-16,"세종세종특별자치시","민주당",0
"27",2016-03-16,"세종세종특별자치시","국민의당",0
"28",2016-03-16,"세종세종특별자치시","무소속1",0.0062
"29",2016-03-17,"세종세종특별자치시","새누리당",0.9933
"30",2016-03-17,"세종세종특별자치시","민주당",0
"31",2016-03-17,"세종세종특별자치시","국민의당",0
"32",2016-03-17,"세종세종특별자치시","무소속1",0.0067
"33",2016-03-18,"세종세종특별자치시","새누리당",0.993
"34",2016-03-18,"세종세종특별자치시","민주당",0
"35",2016-03-18,"세종세종특별자치시","국민의당",0
"36",2016-03-18,"세종세종특별자치시","무소속1",0.007
"37",2016-03-19,"세종세종특별자치시","새누리당",0.995
"38",2016-03-19,"세종세종특별자치시","민주당",0
"39",2016-03-19,"세종세종특별자치시","국민의당",0
"40",2016-03-19,"세종세종특별자치시","무소속1",0.005
"41",2016-03-20,"세종세종특별자치시","새누리당",0.9954
"42",2016-03-20,"세종세종특별자치시","민주당",0
"43",2016-03-20,"세종세종특별자치시","국민의당",0
"44",2016-03-20,"세종세종특별자치시","무소속1",0.0046
"45",2016-03-21,"세종세종특별자치시","새누리당",0.9964
"46",2016-03-21,"세종세종특별자치시","민주당",0
"47",2016-03-21,"세종세종특별자치시","국민의당",0
"48",2016-03-21,"세종세종특별자치시","무소속1",0.0036
"49",2016-03-22,"세종세종특별자치시","새누리당",0.9973
"50",2016-03-22,"세종세종특별자치시","민주당",0
"51",2016-03-22,"세종세종특별자치시","국민의당",0
"52",2016-03-22,"세종세종특별자치시","무소속1",0.0027
"53",2016-03-23,"세종세종특별자치시","새누리당",0.9992
"54",2016-03-23,"세종세종특별자치시","민주당",0
"55",2016-03-23,"세종세종특별자치시","국민의당",0
"56",2016-03-23,"세종세종특별자치시","무소속1",8e-04
"57",2016-03-24,"세종세종특별자치시","새누리당",0.9999
"58",2016-03-24,"세종세종특별자치시","민주당",0
"59",2016-03-24,"세종세종특별자치시","국민의당",0
"60",2016-03-24,"세종세종특별자치시","무소속1",1e-04
"61",2016-03-25,"세종세종특별자치시","새누리당",0.9999
"62",2016-03-25,"세종세종특별자치시","민주당",0
"63",2016-03-25,"세종세종특별자치시","국민의당",0
"64",2016-03-25,"세종세종특별자치시","무소속1",1e-04
"65",2016-03-26,"세종세종특별자치시","새누리당",0.9999
"66",2016-03-26,"세종세종특별자치시","민주당",0
"67",2016-03-26,"세종세종특별자치시","국민의당",0
"68",2016-03-26,"세종세종특별자치시","무소속1",1e-04
"69",2016-03-27,"세종세종특별자치시","새누리당",1
"70",2016-03-27,"세종세종특별자치시","민주당",0
"71",2016-03-27,"세종세종특별자치시","국민의당",0
"72",2016-03-27,"세종세종특별자치시","무소속1",0
"73",2016-03-28,"세종세종특별자치시","새누리당",0.9996
"74",2016-03-28,"세종세종특별자치시","민주당",0
"75",2016-03-28,"세종세종특별자치시","국민의당",0
"76",2016-03-28,"세종세종특별자치시","무소속1",4e-04
"77",2016-03-29,"세종세종특별자치시","새누리당",0.9999
"78",2016-03-29,"세종세종특별자치시","민주당",0
"79",2016-03-29,"세종세종특별자치시","국민의당",0
"80",2016-03-29,"세종세종특별자치시","무소속1",1e-04
"81",2016-03-30,"세종세종특별자치시","새누리당",1
"82",2016-03-30,"세종세종특별자치시","민주당",0
"83",2016-03-30,"세종세종특별자치시","국민의당",0
"84",2016-03-30,"세종세종특별자치시","무소속1",0
"85",2016-03-31,"세종세종특별자치시","새누리당",1
"86",2016-03-31,"세종세종특별자치시","민주당",0
"87",2016-03-31,"세종세종특별자치시","국민의당",0
"88",2016-03-31,"세종세종특별자치시","무소속1",0
"89",2016-04-01,"세종세종특별자치시","새누리당",1
"90",2016-04-01,"세종세종특별자치시","민주당",0
"91",2016-04-01,"세종세종특별자치시","국민의당",0
"92",2016-04-01,"세종세종특별자치시","무소속1",0
"93",2016-04-02,"세종세종특별자치시","새누리당",1
"94",2016-04-02,"세종세종특별자치시","민주당",0
"95",2016-04-02,"세종세종특별자치시","국민의당",0
"96",2016-04-02,"세종세종특별자치시","무소속1",0
"97",2016-04-03,"세종세종특별자치시","새누리당",1
"98",2016-04-03,"세종세종특별자치시","민주당",0
"99",2016-04-03,"세종세종특별자치시","국민의당",0
"100",2016-04-03,"세종세종특별자치시","무소속1",0
"101",2016-04-04,"세종세종특별자치시","새누리당",0.9994
"102",2016-04-04,"세종세종특별자치시","민주당",0
"103",2016-04-04,"세종세종특별자치시","국민의당",0
"104",2016-04-04,"세종세종특별자치시","무소속1",6e-04
"105",2016-04-05,"세종세종특별자치시","새누리당",0.9939
"106",2016-04-05,"세종세종특별자치시","민주당",0
"107",2016-04-05,"세종세종특별자치시","국민의당",0
"108",2016-04-05,"세종세종특별자치시","무소속1",0.0061
"109",2016-04-06,"세종세종특별자치시","새누리당",0.9639
"110",2016-04-06,"세종세종특별자치시","민주당",0
"111",2016-04-06,"세종세종특별자치시","국민의당",0
"112",2016-04-06,"세종세종특별자치시","무소속1",0.0361
"113",2016-03-10,"서울강서구을","새누리당",1
"114",2016-03-10,"서울강서구을","민주당",0
"115",2016-03-10,"서울강서구을","국민의당",0
"116",2016-03-11,"서울강서구을","새누리당",1
"117",2016-03-11,"서울강서구을","민주당",0
"118",2016-03-11,"서울강서구을","국민의당",0
"119",2016-03-12,"서울강서구을","새누리당",1
"120",2016-03-12,"서울강서구을","민주당",0
"121",2016-03-12,"서울강서구을","국민의당",0
"122",2016-03-13,"서울강서구을","새누리당",1
"123",2016-03-13,"서울강서구을","민주당",0
"124",2016-03-13,"서울강서구을","국민의당",0
"125",2016-03-14,"서울강서구을","새누리당",1
"126",2016-03-14,"서울강서구을","민주당",0
"127",2016-03-14,"서울강서구을","국민의당",0
"128",2016-03-15,"서울강서구을","새누리당",1
"129",2016-03-15,"서울강서구을","민주당",0
"130",2016-03-15,"서울강서구을","국민의당",0
"131",2016-03-16,"서울강서구을","새누리당",1
"132",2016-03-16,"서울강서구을","민주당",0
"133",2016-03-16,"서울강서구을","국민의당",0
"134",2016-03-17,"서울강서구을","새누리당",1
"135",2016-03-17,"서울강서구을","민주당",0
"136",2016-03-17,"서울강서구을","국민의당",0
"137",2016-03-18,"서울강서구을","새누리당",1
"138",2016-03-18,"서울강서구을","민주당",0
"139",2016-03-18,"서울강서구을","국민의당",0
"140",2016-03-19,"서울강서구을","새누리당",1
"141",2016-03-19,"서울강서구을","민주당",0
"142",2016-03-19,"서울강서구을","국민의당",0
"143",2016-03-20,"서울강서구을","새누리당",1
"144",2016-03-20,"서울강서구을","민주당",0
"145",2016-03-20,"서울강서구을","국민의당",0
"146",2016-03-21,"서울강서구을","새누리당",1
"147",2016-03-21,"서울강서구을","민주당",0
"148",2016-03-21,"서울강서구을","국민의당",0
"149",2016-03-22,"서울강서구을","새누리당",1
"150",2016-03-22,"서울강서구을","민주당",0
"151",2016-03-22,"서울강서구을","국민의당",0
"152",2016-03-23,"서울강서구을","새누리당",1
"153",2016-03-23,"서울강서구을","민주당",0
"154",2016-03-23,"서울강서구을","국민의당",0
"155",2016-03-24,"서울강서구을","새누리당",1
"156",2016-03-24,"서울강서구을","민주당",0
"157",2016-03-24,"서울강서구을","국민의당",0
"158",2016-03-25,"서울강서구을","새누리당",1
"159",2016-03-25,"서울강서구을","민주당",0
"160",2016-03-25,"서울강서구을","국민의당",0
"161",2016-03-26,"서울강서구을","새누리당",1
"162",2016-03-26,"서울강서구을","민주당",0
"163",2016-03-26,"서울강서구을","국민의당",0
"164",2016-03-27,"서울강서구을","새누리당",1
"165",2016-03-27,"서울강서구을","민주당",0
"166",2016-03-27,"서울강서구을","국민의당",0
"167",2016-03-28,"서울강서구을","새누리당",1
"168",2016-03-28,"서울강서구을","민주당",0
"169",2016-03-28,"서울강서구을","국민의당",0
"170",2016-03-29,"서울강서구을","새누리당",1
"171",2016-03-29,"서울강서구을","민주당",0
"172",2016-03-29,"서울강서구을","국민의당",0
"173",2016-03-30,"서울강서구을","새누리당",1
"174",2016-03-30,"서울강서구을","민주당",0
"175",2016-03-30,"서울강서구을","국민의당",0
"176",2016-03-31,"서울강서구을","새누리당",1
"177",2016-03-31,"서울강서구을","민주당",0
"178",2016-03-31,"서울강서구을","국민의당",0
"179",2016-04-01,"서울강서구을","새누리당",1
"180",2016-04-01,"서울강서구을","민주당",0
"181",2016-04-01,"서울강서구을","국민의당",0
"182",2016-04-02,"서울강서구을","새누리당",1
"183",2016-04-02,"서울강서구을","민주당",0
"184",2016-04-02,"서울강서구을","국민의당",0
"185",2016-04-03,"서울강서구을","새누리당",1
"186",2016-04-03,"서울강서구을","민주당",0
"187",2016-04-03,"서울강서구을","국민의당",0
"188",2016-04-04,"서울강서구을","새누리당",1
"189",2016-04-04,"서울강서구을","민주당",0
"190",2016-04-04,"서울강서구을","국민의당",0
"191",2016-04-05,"서울강서구을","새누리당",1
"192",2016-04-05,"서울강서구을","민주당",0
"193",2016-04-05,"서울강서구을","국민의당",0
"194",2016-04-06,"서울강서구을","새누리당",1
"195",2016-04-06,"서울강서구을","민주당",0
"196",2016-04-06,"서울강서구을","국민의당",0
"197",2016-03-10,"강원동해시삼척시","새누리당",0
"198",2016-03-10,"강원동해시삼척시","민주당",0
"199",2016-03-10,"강원동해시삼척시","무소속1",1
"200",2016-03-11,"강원동해시삼척시","새누리당",0.0073
"201",2016-03-11,"강원동해시삼척시","민주당",0
"202",2016-03-11,"강원동해시삼척시","무소속1",0.9927
"203",2016-03-12,"강원동해시삼척시","새누리당",0.03
"204",2016-03-12,"강원동해시삼척시","민주당",0
"205",2016-03-12,"강원동해시삼척시","무소속1",0.97
"206",2016-03-13,"강원동해시삼척시","새누리당",0.0511
"207",2016-03-13,"강원동해시삼척시","민주당",0
"208",2016-03-13,"강원동해시삼척시","무소속1",0.9489
"209",2016-03-14,"강원동해시삼척시","새누리당",0.0604
"210",2016-03-14,"강원동해시삼척시","민주당",0
"211",2016-03-14,"강원동해시삼척시","무소속1",0.9396
"212",2016-03-15,"강원동해시삼척시","새누리당",0.0664
"213",2016-03-15,"강원동해시삼척시","민주당",0
"214",2016-03-15,"강원동해시삼척시","무소속1",0.9336
"215",2016-03-16,"강원동해시삼척시","새누리당",0.0711
"216",2016-03-16,"강원동해시삼척시","민주당",0
"217",2016-03-16,"강원동해시삼척시","무소속1",0.9289
