area3,여론조사수,category,party_1,party_2,party_3,party_4,party_6,party_5,party_9,party_7,party_8
서울종로구,13,yes,이낙연,황교안,1,1,1,1,1,1,1
서울중구성동구갑,0,none,홍익표,진수희,1,1,1,1,1,1,1
서울중구성동구을,0,none,박성준,지상욱,1,1,1,1,1,1,1
서울용산구,0,none,강태웅,권영세,1,정연욱,1,1,1,1,1
서울광진구갑,0,none,전혜숙,김병민,임동순,1,1,1,1,1,1
서울광진구을,8,yes,고민정,오세훈,1,1,1,1,1,1,1
서울동대문구갑,0,none,안규백,허용범,1,1,1,1,1,1,1
서울동대문구을,0,none,장경태,이혜훈,1,1,1,1,1,1,1
서울중랑구갑,0,none,서영교,김삼화,1,1,1,1,1,1,1
서울중랑구을,0,none,박홍근,윤상일,1,1,1,1,1,1,1
서울성북구갑,0,none,김영배,한상학,박춘림,1,1,1,1,1,1
서울성북구을,0,none,기동민,정태근,1,1,1,1,1,1,1
서울강북구갑,0,none,천준호,정양석,1,1,1,1,1,1,1
서울강북구을,0,none,박용진,안홍렬,1,1,1,1,1,1,1
서울도봉구갑,0,none,인재근,김재섭,1,1,1,1,1,1,1
서울도봉구을,0,none,오기형,김선동,1,1,1,1,1,1,1
서울노원구갑,0,none,고용진,이노근,1,1,1,1,1,1,1
서울노원구을,0,none,우원식,이동섭,1,1,1,1,1,1,1
서울노원구병,0,none,김성환,이준석,박기범,1,1,1,1,1,1
서울은평구갑,0,none,박주민,홍인정,1,1,1,1,1,1,1
서울은평구을,0,none,강병원,허용섭,1,1,1,1,1,1,1
서울서대문구갑,0,none,우상호,이성헌,1,1,1,1,1,1,1
서울서대문구을,0,none,김영호,송주범,1,1,1,1,1,1,1
서울마포구갑,0,none,노웅래,강승규,1,1,1,1,1,1,1
서울마포구을,0,none,정청래,김성동,1,1,1,1,1,1,1
서울양천구갑,0,none,황희,송한섭,1,1,1,1,1,1,1
서울양천구을,0,none,이용선,손영택,1,1,1,1,1,1,1
서울강서구갑,0,none,강선우,구상찬,1,1,1,1,1,1,1
서울강서구을,1,yet,진성준,김태우,1,1,1,1,1,1,1
서울강서구병,0,none,한정애,김철근,1,1,1,1,1,1,1
서울구로구갑,0,none,이인영,김재식,1,1,1,1,1,1,1
서울구로구을,2,yet,윤건영,김용태,1,1,1,1,1,1,1
서울금천구,0,none,최기상,강성만,1,1,1,1,1,1,1
서울영등포구갑,0,none,김영주,문병호,1,1,1,1,1,1,1
서울영등포구을,0,none,김민석,박용찬,1,1,1,1,1,1,1
서울동작구갑,0,none,김병기,장진영,1,1,1,1,1,1,1
서울동작구을,6,yes,이수진,나경원,1,1,1,1,1,1,1
서울관악구갑,0,none,유기홍,김대호,1,1,1,1,1,1,1
서울관악구을,0,none,정태호,오신환,한인수,1,1,1,1,1,1
서울서초구갑,0,none,이정근,윤희숙,1,1,1,1,1,1,1
서울서초구을,0,none,박경미,박성중,1,1,1,1,1,1,1
서울강남구갑,0,none,김성곤,태구민,정동희,1,1,1,1,1,1
서울강남구을,0,none,전현희,박진,김광종,1,1,1,1,1,1
서울강남구병,0,none,김한규,유경준,김치열,1,1,1,1,1,1
서울송파구갑,0,none,조재희,김웅,1,1,1,1,1,1,1
서울송파구을,1,yet,최재성,배현진,1,1,1,1,1,1,1
서울송파구병,0,none,남인순,김근식,최조웅,1,1,1,1,1,1
서울강동구갑,0,none,진선미,이수희,1,1,1,1,1,1,1
서울강동구을,0,none,이해식,이재영,1,1,1,1,1,1,1
부산중구영도구,0,none,김비오,황보승희,1,1,1,1,1,1,1
부산서구동구,1,yet,이재강,안병길,1,1,1,1,1,1,1
부산부산진구갑,1,yet,김영춘,서병수,1,1,1,1,1,1,1
부산부산진구을,0,none,류영진,이헌승,1,1,1,1,1,1,1
부산동래구,0,none,박성현,김희곤,1,1,1,1,1,1,1
부산남구갑,0,none,강준석,박수영,1,1,1,1,1,1,1
부산남구을,1,yet,박재호,이언주,1,1,1,1,1,1,1
부산북구강서구갑,2,yet,전재수,박민식,1,1,1,1,1,1,1
부산북구강서구을,0,none,최지은,김도읍,1,1,1,1,1,1,1
부산해운대구갑,0,none,유영민,하태경,1,1,1,1,1,1,1
부산해운대구을,1,yet,윤준호,김미애,1,1,1,1,1,1,1
부산사하구갑,0,none,최인호,김척수,1,1,1,1,1,1,1
부산사하구을,0,none,이상호,조경태,1,1,1,1,1,1,1
부산금정구,0,none,김경지,김종천,노창동,1,1,1,1,1,1
부산연제구,0,none,김해영,이주환,박재홍,1,1,1,1,1,1
부산수영구,0,none,강윤경,전봉민,1,1,1,1,1,1,1
부산사상구,0,none,배재정,장제원,1,1,1,1,1,1,1
부산기장군,0,none,최택용,정동만,1,1,1,1,1,1,1
대구중구남구,0,none,이재용,곽상도,1,1,1,1,1,1,1
대구동구갑,0,none,서재헌,류성걸,1,1,1,1,1,1,1
대구동구을,0,none,이승천,강대식,남원환,1,1,1,1,1,1
대구서구,0,none,윤선진,김상훈,1,1,1,1,1,1,1
대구북구갑,0,none,이헌태,양금희,1,1,1,1,1,1,1
대구북구을,0,none,홍의락,김승수,1,1,1,1,1,1,1
대구수성구갑,1,yet,김부겸,주호영,1,1,1,1,1,1,1
대구수성구을,0,none,이상식,이인선,1,1,1,1,1,1,1
대구달서구갑,0,none,권택흥,1,1,1,1,1,1,1,1
대구달서구을,0,none,허소,윤재옥,1,1,1,1,1,1,1
대구달서구병,0,none,김대진,김용판,1,1,1,1,1,1,1
대구달성군,0,none,박형룡,추경호,1,1,1,1,1,1,1
인천중구강화군옹진군,1,yet,조택상,배준영,1,1,1,1,1,1,1
인천동구미추홀구갑,0,none,허종식,전희경,1,1,1,1,1,1,1
인천동구미추홀구을,1,yet,남영희,안상수,1,1,1,1,1,1,1
인천연수구갑,0,none,박찬대,정승연,1,1,1,1,1,1,1
인천연수구을,0,none,정일영,1,1,이정미,1,1,1,1,1
인천남동구갑,1,yet,맹성규,유정복,1,1,1,1,1,1,1
인천남동구을,0,none,윤관석,이원복,1,1,1,1,1,1,1
인천부평구갑,0,none,이성만,정유섭,1,1,1,1,1,1,1
인천부평구을,0,none,홍영표,강창규,1,1,1,1,1,1,1
인천계양구갑,0,none,유동수,이중재,1,1,1,1,1,1,1
인천계양구을,0,none,송영길,윤형선,1,1,1,1,1,1,1
인천서구갑,2,yet,김교흥,이학재,1,1,1,1,1,1,1
인천서구을,0,none,신동근,박종진,1,1,1,1,1,1,1
광주동구남구갑,5,yes,윤영덕,1,장병원,1,1,1,1,1,1
광주동구남구을,1,yet,이병훈,1,박주선vs김성환,1,1,1,1,1,1
광주서구갑,0,none,송갑석,주동식,김명진,1,1,1,1,1,1
광주서구을,2,yet,양향자,1,천정배,1,1,1,1,1,1
광주북구갑,2,yet,조오섭,범기철,1,1,1,1,1,1,1
광주북구을,1,yet,이형석,1,최경환,1,1,1,1,1,1
광주광산구갑,3,yes,이용빈,1,김동철,1,1,1,1,1,1
광주광산구을,0,none,민형배,1,1,1,1,1,1,1,1
대전동구,0,none,장철민,이장우,1,1,1,1,1,1,1
대전중구,0,none,황운하,이은권,1,1,1,1,1,1,1
대전서구갑,0,none,박병석,이영규,1,1,1,1,1,1,1
대전서구을,0,none,박범계,양홍규,1,1,1,1,1,1,1
대전유성구갑,1,yet,조승래,장동혁,1,1,1,1,1,1,1
대전유성구을,0,none,이상민,김소연,1,1,1,1,1,1,1
대전대덕구,0,none,박영순,정용기,1,1,1,1,1,1,1
울산중구,0,none,임동호,박성민,1,1,1,1,1,1,1
울산남구갑,0,none,심규명,이채익,1,1,1,1,1,1,1
울산남구을,0,none,박성진,김기현,고원도,1,1,1,1,1,1
