고유번호,조사제목,조사시작,중간날짜,조사끝,광역,선거구,선거구_2,언론사,조사기관,조사방법,가상번호 사용여부,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,합계,더불어민주당,민주당참여통합당,미래통합당,민생당,정의당,국민의당,자유공화당,친박신당,자유한국당,열린민주당,민중당,바른미래당,대안신당,민주평화당,새로운보수당,박근혜전대통령을지지하는보수세력,민주통합의원모임,안철수의원지지세력,기타,없음,모름/무응답,링크
6656,"전국 국회의원선거 비례대표국회의원선거 정당지지도 정당지지도, 대통령 지지도 등 총선 관련 현안에 대한 여론조사",2020-03-13,2020-03-14,2020-03-14,전국,비례,전국비례,한국경제신문사,입소스,유무선혼합,사용,전화면접,1000,13.9,100.1,37.8,,26.8,1.2,12.3,6.3,,,,,,,,,,,,,3.4,10.6,1.7,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7194&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=1
6656,"전국 국회의원선거 비례대표국회의원선거 대통령선거 정당지지도, 기타 현안",2020-03-13,2020-03-13,2020-03-13,전국,비례,전국비례,뉴스1,엠브레인퍼블릭,무선,사용,전화면접,1005,24,100,34.2,,19.7,0.5,4.7,1.8,0.5,0.4,,1.6,,,,,,,,,2.3,30,4.3,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7183&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2
6653,전국 정당지지도 국회의원선거,2020-03-11,2020-03-11,2020-03-11,전국,비례,전국비례,오마이뉴스,리얼미터,유무선혼합,미사용,ARS,1000,6.9,100.1,36,,32.8,1.5,7.8,5.1,,,,,,,,,,,,,6.6,5.6,4.7,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7175&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2
6641,전국 정기(정례)조사 대통령선거 차기대선주자,2020-03-02,2020-03-04,2020-03-06,전국,비례,전국비례,오마이뉴스,리얼미터,유무선,미사용,ARS/전화면접,2541,5.3,100,36.5,,28.8,3.8,8.9,6.9,1.8,,,,1.3,,,,,,,,2.2,7.1,2.7,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7163&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=1
6640,전국 정기(정례)조사 정당지지도 3월 1주차 주간집계,2020-03-02,2020-03-04,2020-03-06,전국,비례,전국비례,YTN,리얼미터,유무선혼합,미사용,ARS/전화면접,2527,5.3,100,36.6,,28.7,3.8,8.9,7,1.8,,,,1.3,,,,,,,,2.2,7,2.7,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7158&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=1
6639,"전국 국회의원선거 비례대표국회의원선거 대통령선거 정당지지도, 기타 현안",2020-03-05,2020-03-06,2020-03-06,전국,비례,전국비례,서울경제,엠브레인퍼블릭,무선,사용,전화면접,1009,26.1,99.2,31.9,,20.6,0.3,9.1,2.8,1.4,,,,,,,,,,,,4.9,21,7.2,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7159&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=4
6636,전국 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,2020-03-01,2020-03-02,2020-03-02,전국,비례,전국비례,한국일보,한국리서치,유무선혼합,사용,전화면접,1000,21.9,100,21,,17.8,1.7,8.2,1,0.6,,,2.3,0.4,,,,,,,,0.9,0.8,45.3,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7144&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=4
6635,전국 정기(정례)조사 정당지지도 3월 1주차 주중집계 ,2020-03-02,2020-03-03,2020-03-04,전국,비례,전국비례,TBS,리얼미터,유무선혼합,미사용,ARS/전화면접,1516,5.1,100,36.7,,27.7,4,9.1,6.5,1.8,,,,1.4,,,,,,,,2.6,7.1,3.1,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7151&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=2
6630,전국 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,2020-02-26,2020-02-27,2020-02-27,전국,비례,전국비례,중앙일보,한국리서치,유무선혼합,사용,전화면접,1000,22.1,99.8,23,,20.1,1.3,8.5,1.3,0.5,,,,0.1,,,,,,,,1.6,1.6,41.8,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7141&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=5
6628,"전국 정기(정례)조사 국회의원선거 정당지지도 21대 총선 지역구, 비례대표 정당지지도 등",2020-02-29,2020-03-01,2020-03-02,전국,비례,전국비례,쿠키뉴스,조원씨앤아이,유무선혼합,미사용,ARS,1002,3.9,100.1,33.3,,29,1.6,10.4,3.1,,,,,,,,,,9.1,,,3,6.7,3.9,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7138&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=2
