고유번호,조사제목,조사시작,중간날짜,조사끝,광역,선거구,선거구_2,언론사,조사기관,조사방법,가상번호 사용여부,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,합계,더불어민주당,미래통합당,민생당,정의당,민중당,자유공화당,무소속1,무소속2,친박신당,열린민주당,바른미래당,국민의당,대안신당,민주평화당,국가혁명배당금당,새로운보수당,기타,없음,모름/무응답,사용하지 않음,비고,링크,질문 정리,meta,url
6738,충청북도 청주시 서원구 국회의원선거,2020-03-21,2020-03-22,2020-03-22,충북,청주시서원구,충북청주시서원구,청주KBS,한국갤럽조사연구소,유무선혼합,사용,전화면접,500,15,99.9,30.4,29.2,2.6,,,,13.1,,,,,,,,,,,,24.6,,"이장섭, 최현호, 이창록, 오제세",,,기사,http://www.polinews.co.kr/news/article.html?no=457101
6735,충청북도 청주시 흥덕구 국회의원선거,2020-03-21,2020-03-22,2020-03-22,충북,청주시흥덕구,충북청주시흥덕구,청주KBS,한국갤럽조사연구소,유무선혼합,사용,전화면접,505,16.9,97.9,44.7,29,,,,,,,,,,,,,,,,,24.2,,"도종환, 정우택",,,기사,http://www.polinews.co.kr/news/article.html?no=457101
6729,경기도 안양시 만안구 국회의원선거 정당지지도,2020-03-21,2020-03-22,2020-03-22,경기,안양시만안구,경기안양시만안구,경인일보,알앤써치,유무선혼합,사용,ARS,514,7.5,99.9,43,39.7,,4.3,,,,,,,,,,,,,3.6,5.9,3.4,,"강득구, 이필운, 이종태",,지지도,기사,http://polinews.co.kr/news/article.html?no=457121 
6728,경기도 시흥시 국회의원선거 정당지지도,2020-03-21,2020-03-22,2020-03-22,경기,시흥시갑,경기시흥시갑,경인일보,알앤써치,유무선혼합,사용,ARS,511,7.6,101,47.5,35.6,,3.6,,,,,,,,,,,,,1.8,8.6,3.9,,"문정복, 함진규, 양범진",,지지도,기사,http://www.polinews.co.kr/news/article.html?no=457133
6727,서울특별시 광진구 국회의원선거 비례대표국회의원선거 정당지지도,2020-03-17,2020-03-18,2020-03-18,서울,광진구을,서울광진구을,동아일보,리서치앤리서치,무선,사용,전화면접,502,11.2,100,43.2,40.7,,,,,,,,,,,,,,,0.7,2.1,13.3,,"고민정, 오세훈",https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7251&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,가상대결,체크완료,
6725,부산광역시 남구 국회의원선거 정당지지도,2020-03-20,2020-03-21,2020-03-21,부산,남구을,부산남구을,국제신문,폴리컴,유무선혼합,사용,ARS,710,6.7,100,40.5,42.6,,,,,,,,,,,,,,,5.3,7.1,4.5,,"박재호, 이언주",https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7256&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,누구를 지지하시겠습니까?,체크완료,
6724,부산광역시 북구 국회의원선거 정당지지도,2020-03-20,2020-03-21,2020-03-21,부산,북구강서구갑,부산북구강서구갑,국제신문,폴리컴,유무선혼합,사용,ARS,707,7.3,100,47.1,37.2,,,,,,,,,,,,,,,4.6,5.4,5.7,,"전재수, 박민식",https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7257&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,누구를 지지하시겠습니까?,체크완료,
6723,부산광역시 부산진구 국회의원선거 정당지지도,2020-03-20,2020-03-21,2020-03-21,부산,부산진구갑,부산부산진구갑,국제신문,폴리컴,유무선혼합,사용,ARS,713,6,100,35.3,38.8,,,,,11.2,,,,,,,,,,3.2,6.4,5.1,,"김영춘, 서병수, 정근",https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7258&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,누구를 지지하시겠습니까?,체크완료,
6722,서울특별시 동작구 국회의원선거 정당지지도 기타,2020-03-20,2020-03-21,2020-03-21,서울,동작구을,서울동작구을,서울경제,엠브레인퍼블릭,유무선혼합,사용,전화면접,506,15,100,44,34.9,,1.9,,0.2,,,,,,,,,,,1,6.9,11.1,,"이수진, 나경원, 이호영, 이성우",https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7264&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,가상대결,체크완료,
6721,서울특별시 구로구 국회의원선거 정당지지도 기타,2020-03-20,2020-03-21,2020-03-21,서울,구로구을,서울구로구을,서울경제,엠브레인퍼블릭,유무선혼합,사용,전화면접,505,16.5,100,40.9,22.9,,,,2.7,,,,,,,,,,,4.5,16.2,12.8,,"윤건영, 김용태, 오세찬",https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7263&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,가상대결,체크완료,
