조사시작,중간날짜,조사끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리당_1,더불어민주당_1,국민의당_1,정의당_1,무소속1_1,무소속2_1,무소속3_1,DK,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-03-26,2016-03-27,2016-03-28,서울,종로구,서울종로구,0.486,0.373,0.036,0.003,0.006,0.000,0.000,0.538,0.413,0.040,0.003,0.007,0.000,0.000,0.096,TNS,SBS,유선RDD,전화면접,503,5,2.44,3
2016-03-20,2016-03-21,2016-03-22,서울,종로구,서울종로구,0.458,0.285,0.039,0.040,0.000,0.000,0.000,0.557,0.347,0.047,0.049,0.000,0.000,0.000,0.178,(주)코리아리서치센터,"KBS,연합뉴스 ",유선RDD,전화면접,504,7.1,2.5,2
2016-03-19,2016-03-20,2016-03-20,서울,종로구,서울종로구,0.433,0.339,0.039,0.014,0.000,0.000,0.000,0.525,0.411,0.047,0.017,0.000,0.000,0.000,0.175,(주)리서치앤리서치,동아일보,유선RDD,전화면접,508,6.6,2.1,3
2016-03-18,2016-03-19,2016-03-20,서울,종로구,서울종로구,0.451,0.326,0.014,0.011,0.005,0.000,0.000,0.559,0.404,0.017,0.014,0.006,0.000,0.000,0.193,중앙일보조사연구팀/엠브레인,중앙일보,유무선혼합RDD,전화면접,500,4.7,1.85,2
2016-03-30,2016-04-01,2016-04-02,서울,종로구,서울종로구,0.415,0.399,0.064,0.032,0.000,0.000,0.000,0.456,0.438,0.070,0.035,0.000,0.000,0.000,0.090,리얼미터,서울경제,유선RDD,전화면접,209,9.6,2.41,2
2016-04-01,2016-04-02,2016-04-03,서울,종로구,서울종로구,0.426,0.349,0.077,0.029,0.000,0.000,0.000,0.484,0.396,0.087,0.033,0.000,0.000,0.000,0.119,조원씨앤아이,"국민일보,CBS",유선/스마트폰앱혼합,전화면접,508,10.1,1.95,3
2016-04-01,2016-04-02,2016-04-02,서울,종로구,서울종로구,0.449,0.356,0.046,0.012,0.000,0.000,0.000,0.520,0.413,0.053,0.014,0.000,0.000,0.000,0.137,㈜리서치앤리서치,MBC,유선RDD,전화면접,600,16.8,1.05,2
2016-04-05,2016-04-06,2016-04-06,서울,종로구,서울종로구,0.422,0.448,0.045,0.004,0.004,0.007,0.000,0.454,0.482,0.048,0.004,0.004,0.008,0.000,0.070,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,509,15,1.56,2
2016-04-02,2016-04-04,2016-04-05,서울,종로구,서울종로구,0.454,0.356,0.061,0.020,0.005,0.000,0.000,0.507,0.397,0.068,0.022,0.006,0.000,0.000,0.104,TNSKOREA,SBS,유선RDD,전화면접,522,7.3,1.4,2
2016-04-02,2016-04-03,2016-04-04,서울,중구성동구갑,서울중구성동구갑,0.362,0.362,0.057,0.032,0.000,0.000,0.000,0.445,0.445,0.070,0.039,0.000,0.000,0.000,0.187,마크로밀엠브레인,YTN,유무선혼합RDD,ARS,500,1.8,1.58,4
2016-03-25,2016-03-25,2016-03-25,서울,중구성동구을,서울중구성동구을,0.421,0.192,0.184,0.000,0.000,0.000,0.000,0.528,0.241,0.231,0.000,0.000,0.000,0.000,0.203,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,500,8.5,2.41,2
2016-03-23,2016-03-24,2016-03-25,서울,중구성동구을,서울중구성동구을,0.428,0.131,0.169,0.000,0.000,0.000,0.000,0.588,0.180,0.232,0.000,0.000,0.000,0.000,0.272,리얼미터,MBN,유선RDD,전화면접,500,8.5,2.29,2
2016-03-22,2016-03-23,2016-03-23,서울,중구성동구을,서울중구성동구을,0.439,0.138,0.173,0.000,0.000,0.000,0.000,0.585,0.184,0.231,0.000,0.000,0.000,0.000,0.250,(주)밀워드브라운미디어리서치,조선일보,유선RDD,전화면접,505,18.4,1.46,3
