조사 시작,중간 날짜,조사 끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리1,민주1,국민1,정의1,무속1,무속2,무속3,무응답,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016/04/05,2016/04/06,2016/04/06,세종,세종특별자치시,세종세종특별자치시,0.352,0.072,0.046,0,0.345,0,0,0.43190184,0.088343558,0.056441718,0,0.423312883,0,0,0.185,밀워드브라운,조선일보,유선RDD,전화면접,509,12.4,1.6,2
2016/04/02,2016/04/04,2016/04/05,세종,세종특별자치시,세종세종특별자치시,0.429,0.081,0.066,0,0.28,0,0,0.501168224,0.094626168,0.077102804,0,0.327102804,0,0,0.144,TNS,SBS,유선RDD,전화면접,549,12.9,2.26,2
2016/04/03,2016/04/04,2016/04/05,세종,세종특별자치시,세종세종특별자치시,0.344,0.098,0.061,0,0.313,0,0,0.421568627,0.120098039,0.074754902,0,0.383578431,0,0,0.184,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,14.6,1.97,3
2016/04/03,2016/04/04,2016/04/04,서울,강서구을,서울강서구을,0.455,0.303,0.079,0,0.022,0,0,0.529685681,0.352735739,0.091967404,0,0.025611176,0,0,0.141,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,505,14.3,1.51,3
2016/04/03,2016/04/04,2016/04/04,세종,세종특별자치시,세종세종특별자치시,0.392,0.089,0.03,0,0.319,0,0,0.472289157,0.107228916,0.036144578,0,0.384337349,0,0,0.17,포커스컴퍼니,문화일보,유선RDD,전화면접,500,8.9,1.8,3
2016/04/03,2016/04/04,2016/04/04,강원,동해시삼척시,강원동해시삼척시,0.272,0.109,0,0,0.405,0,0,0.34605598,0.138676845,0,0,0.515267176,0,0,0.214,코리아리서치센터,"춘천KBS·춘천MBC·G1강원민방,강원일보",유선RDD,전화면접,500,27.1,2.3,2
2016/04/02,2016/04/03,2016/04/03,세종,세종특별자치시,세종세종특별자치시,0.334,0.11,0.084,0,0.299,0,0,0.403869407,0.133010883,0.101571947,0,0.361547763,0,0,0.173,충청한길리서치,대전일보,유선/스마트폰앱혼합,ARS,510,4.6,1.4,2
2016/04/02,2016/04/02,2016/04/02,서울,강서구을,서울강서구을,0.439,0.288,0.099,0,0.014,0,0,0.522619048,0.342857143,0.117857143,0,0.016666667,0,0,0.16,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,18.9,1.68,3
2016/03/30,2016/04/01,2016/04/02,세종,세종특별자치시,세종세종특별자치시,0.424,0.04,0.037,0,0.341,0,0,0.503562945,0.047505938,0.043942993,0,0.404988124,0,0,0.158,리얼미터,서울경제,유선RDD,전화면접/ARS,508,8.8,2.44,2
2016/04/01,2016/04/02,2016/04/02,세종,세종특별자치시,세종세종특별자치시,0.343,0.107,0.065,0,0.323,0,0,0.409307876,0.127684964,0.077565632,0,0.385441527,0,0,0.162,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,504,11.8,1.7,3
2016/03/31,2016/04/01,2016/04/01,세종,세종특별자치시,세종세종특별자치시,0.357,0.103,0.053,0,0.306,0,0,0.435897436,0.125763126,0.064713065,0,0.373626374,0,0,0.181,리서치앤리서치,동아일보,유선RDD,전화면접,500,9.1,2,2
2016/03/31,2016/04/01,2016/04/01,강원,동해시삼척시,강원동해시삼척시,0.292,0.183,0,0,0.296,0,0,0.378728923,0.237354086,0,0,0.383916991,0,0,0.229,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,511,21.6,1.38,3
2016/03/30,2016/03/31,2016/03/31,세종,세종특별자치시,세종세종특별자치시,0.317,0.105,0.064,0,0.291,0,0,0.407979408,0.135135135,0.082368082,0,0.374517375,0,0,0.223,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,14.5,1.73,3
2016/03/26,2016/03/27,2016/03/28,세종,세종특별자치시,세종세종특별자치시,0.354,0.141,0.056,0,0.269,0,0,0.431707317,0.17195122,0.068292683,0,0.32804878,0,0,0.18,코리아리서치센터,한국일보,유선RDD,전화면접,500,14.3,1.45,3
2016/03/27,2016/03/27,2016/03/27,강원,동해시삼척시,강원동해시삼척시,0.3,0.15,0,0,0.321,0,0,0.389105058,0.194552529,0,0,0.416342412,0,0,0.229,코리아리서치센터,춘천KBS·춘천MBC·G1강원민방,유선RDD,전화면접,500,24,2.48,3
2016/03/25,2016/03/26,2016/03/26,세종,세종특별자치시,세종세종특별자치시,0.327,0.073,0.049,0,0.288,0,0,0.443690638,0.099050204,0.066485753,0,0.390773406,0,0,0.263,리얼미터,MBN,유선RDD,전화면접,504,14.6,2.38,3
2016/03/11,2016/03/12,2016/03/12,경기,안산시단원구갑,경기안산시단원구갑,0.406,0.313,0.099,0,0,0,0,0.496332518,0.382640587,0.121026895,0,0,0,0,0.182,리얼미터,중부일보,유선/스마트폰앱혼합,ARS,503,2.4,1.71,3
