조사 시작,중간 날짜,조사 끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리1,민주1,국민1,정의1,무속1,무속2,무속3,무응답,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016/04/05,2016/04/06,2016/04/06,서울,종로구,서울종로구,0.422,0.354,0.039,0.006,0,0,0,0.514007308,0.431181486,0.047503045,0.007308161,0,0,0,0.179,밀워드브라운,조선일보,유선RDD,전화면접,522,7.3,1.4,2
2016/04/05,2016/04/06,2016/04/06,서울,종로구,서울종로구,0.422,0.448,0.045,0.004,0.004,0.007,0,0.453763441,0.48172043,0.048387097,0.004301075,0.004301075,0.007526882,0,0.07,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,509,15,1.56,2
2016/04/05,2016/04/06,2016/04/06,서울,종로구,서울종로구,0.428,0.379,0.041,0.018,0,0,0,0.494226328,0.437644342,0.047344111,0.020785219,0,0,0,0.134,리얼미터,MBN,유선RDD,전화면접,508,10.1,1.95,3
2016/04/05,2016/04/06,2016/04/06,서울,중구성동구을,서울중구성동구을,0.37,0.205,0.304,0,0,0,0,0.420932878,0.233219568,0.345847554,0,0,0,0,0.121,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,510,12.1,1.7,3
2016/04/05,2016/04/06,2016/04/06,서울,용산구,서울용산구,0.381,0.3,0.07,0.029,0,0,0,0.488461538,0.384615385,0.08974359,0.037179487,0,0,0,0.22,밀워드브라운,조선일보,유선RDD,전화면접,535,10.1,1.2,2
2016/04/05,2016/04/06,2016/04/06,서울,성북구갑,서울성북구갑,0.357,0.346,0.109,0,0,0,0,0.439655172,0.426108374,0.134236453,0,0,0,0,0.188,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,501,17.7,1.37,3
2016/04/05,2016/04/06,2016/04/06,서울,노원구병,서울노원구병,0.33,0.107,0.409,0.015,0,0,0,0.383275261,0.1242741,0.475029036,0.017421603,0,0,0,0.139,밀워드브라운,조선일보,유선RDD,전화면접,509,9.7,1.7,3
2016/04/05,2016/04/06,2016/04/06,서울,노원구병,서울노원구병,0.302,0.133,0.43,0.028,0,0,0,0.33818589,0.14893617,0.481522956,0.031354983,0,0,0,0.107,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,504,16.8,1.31,3
2016/04/06,2016/04/06,2016/04/06,서울,은평구을,서울은평구을,0,0.2256,0.2969,0.0709,0.2572,0.0407,0,0,0.25311343,0.333108942,0.079546729,0.288567261,0.045663637,0,0.1087,윈스리서치,고연호 국회의원후보사무소,유선/스마트폰앱혼합,ARS,1109,1,2.46,2
2016/04/05,2016/04/06,2016/04/06,서울,은평구을,서울은평구을,0,0.182,0.187,0.098,0.275,0.042,0,0,0.232142857,0.238520408,0.125,0.350765306,0.053571429,0,0.216,리얼미터,MBN,유선RDD,전화면접,511,12.9,2.27,3
2016/04/05,2016/04/06,2016/04/06,서울,마포구갑,서울마포구갑,0.301,0.335,0.104,0,0.087,0,0,0.363966143,0.405078597,0.125755744,0,0.105199516,0,0,0.173,리얼미터,서울경제,유선RDD,전화면접/ARS,514,4.5,2.06,3
2016/04/05,2016/04/06,2016/04/06,서울,마포구을,서울마포구을,0.324,0.3,0.099,0.043,0.055,0,0,0.394640682,0.365408039,0.120584653,0.052375152,0.066991474,0,0,0.179,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,502,20.2,1.49,3
2016/04/05,2016/04/06,2016/04/06,서울,양천구을,서울양천구을,0.413,0.258,0.113,0,0,0,0,0.526785714,0.329081633,0.144132653,0,0,0,0,0.216,밀워드브라운,조선일보,유선RDD,전화면접,510,8.2,1.4,2
2016/04/05,2016/04/06,2016/04/06,서울,구로구갑,서울구로구갑,0.321,0.371,0.082,0.033,0,0,0,0.397769517,0.459727385,0.101610905,0.040892193,0,0,0,0.193,메트릭스코퍼레이션,시민일보,유선RDD,ARS,800,4.9,2.04,3
2016/04/05,2016/04/06,2016/04/06,서울,영등포구을,서울영등포구을,0.352,0.251,0.177,0,0.018,0,0,0.441102757,0.314536341,0.221804511,0,0.022556391,0,0,0.202,밀워드브라운,조선일보,유선RDD,전화면접,511,7.7,1.4,2
2016/04/05,2016/04/06,2016/04/06,서울,영등포구을,서울영등포구을,0.332,0.364,0.157,0,0.023,0,0,0.378995434,0.415525114,0.179223744,0,0.026255708,0,0,0.124,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,507,16.8,1.26,3
2016/04/06,2016/04/06,2016/04/06,서울,강동구을,서울강동구을,0.362,0.299,0.155,0,0,0,0,0.443627451,0.366421569,0.18995098,0,0,0,0,0.184,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,23.8,1.39,3
2016/04/05,2016/04/06,2016/04/06,대구,동구갑,대구동구갑,0.386,0,0,0,0.294,0,0,0.567647059,0,0,0,0.432352941,0,0,0.32,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,503,20.3,1.56,2
2016/04/05,2016/04/06,2016/04/06,대구,동구갑,대구동구갑,0.419,0,0,0,0.385,0,0,0.521144279,0,0,0,0.478855721,0,0,0.196,리얼미터,MBN,유선RDD,전화면접,515,10.3,2.5,2
2016/04/06,2016/04/06,2016/04/06,대구,북구갑,대구북구갑,0.385,0.116,0.072,0,0.184,0,0,0.508586526,0.15323646,0.095112285,0,0.243064729,0,0,0.243,한길리서치센터,매일경제,유선/스마트폰앱혼합,전화면접,500,15.4,1.54,3
2016/04/05,2016/04/06,2016/04/06,대구,북구을,대구북구을,0.26,0,0,0.083,0.488,0,0,0.312876053,0,0,0.099879663,0.587244284,0,0,0.169,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,502,25.2,1.36,4
2016/04/05,2016/04/06,2016/04/06,대구,수성구갑,대구수성구갑,0.286,0.53,0,0,0,0,0,0.350490196,0.649509804,0,0,0,0,0,0.184,밀워드브라운,조선일보,유선RDD,전화면접,1489,3.2,1.4,3
2016/04/06,2016/04/06,2016/04/06,대구,수성구갑,대구수성구갑,0.439,0.5,0,0,0,0,0,0.467518637,0.532481363,0,0,0,0,0,0.061,폴스미스,새누리당 대구시당,유선RDD,ARS,1489,3.2,2.5,2
2016/04/06,2016/04/06,2016/04/06,대구,수성구갑,대구수성구갑,0.354,0.444,0,0,0,0,0,0.443609023,0.556390977,0,0,0,0,0,0.202,한길리서치센터,매일경제,유선/스마트폰앱혼합,전화면접,500,18.1,2.03,4
2016/04/05,2016/04/06,2016/04/06,대구,수성구갑,대구수성구갑,0.292,0.613,0,0,0,0,0,0.322651934,0.677348066,0,0,0,0,0,0.095,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,504,24.9,1.33,3
2016/04/05,2016/04/06,2016/04/06,대구,수성구을,대구수성구을,0.252,0.113,0,0,0.45,0,0,0.309202454,0.138650307,0,0,0.552147239,0,0,0.185,밀워드브라운,조선일보,유선RDD,전화면접,508,11.7,1.4,2
2016/04/05,2016/04/06,2016/04/06,대구,수성구을,대구수성구을,0.258,0.154,0,0,0.475,0,0,0.290868095,0.17361894,0,0,0.535512965,0,0,0.113,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,503,21.8,1.5,4
2016/04/05,2016/04/06,2016/04/06,인천,남구을,인천남구을,0.068,0,0.104,0.128,0.378,0,0,0.100294985,0,0.15339233,0.18879056,0.557522124,0,0,0.322,한길리서치센터,"경기일보,기호일보",유선/스마트폰앱혼합,전화면접,500,16,1.53,4
2016/04/05,2016/04/06,2016/04/06,인천,남동구갑,인천남동구갑,0.302,0.345,0.076,0,0,0,0,0.417704011,0.477178423,0.105117566,0,0,0,0,0.277,리얼미터,MBN,유선RDD,전화면접,512,9,2.21,3
2016/04/05,2016/04/06,2016/04/06,광주,북구갑,광주북구갑,0,0.182,0.544,0,0.05,0,0,0,0.234536082,0.701030928,0,0.06443299,0,0,0.224,리얼미터,MBN,유선RDD,전화면접,509,10.3,2.38,2
2016/04/04,2016/04/05,2016/04/06,대전,서구갑,대전서구갑,0.438,0.366,0.066,0,0,0,0,0.503448276,0.420689655,0.075862069,0,0,0,0,0.13,리얼미터,굿모닝충청,유선/스마트폰앱혼합,ARS,519,3.2,2.28,3
2016/04/04,2016/04/05,2016/04/06,울산,중구,울산중구,0.521,0.114,0.036,0,0,0,0,0.776453055,0.169895678,0.053651267,0,0,0,0,0.329,한국갤럽조사연구소,"ubc울산방송, 울산mbc",유선RDD,전화면접,519,14.4,1.72,3
2016/04/04,2016/04/05,2016/04/06,울산,남구갑,울산남구갑,0.441,0.181,0,0,0.144,0,0,0.575718016,0.236292428,0,0,0.187989556,0,0,0.234,한국갤럽조사연구소,"ubc울산방송, 울산mbc",유선RDD,전화면접,500,15.1,2.46,2
2016/04/04,2016/04/05,2016/04/06,울산,남구을,울산남구을,0.468,0.092,0,0,0.231,0,0,0.591656131,0.11630847,0,0,0.292035398,0,0,0.209,한국갤럽조사연구소,"ubc울산방송, 울산mbc",유선RDD,전화면접,500,14.1,2.36,3
2016/04/04,2016/04/05,2016/04/06,울산,동구,울산동구,0.342,0,0.054,0.326,0,0,0,0.473684211,0,0.074792244,0.451523546,0,0,0,0.278,한국갤럽조사연구소,"ubc울산방송, 울산mbc",유선RDD,전화면접,507,13.1,2.42,3
2016/04/04,2016/04/05,2016/04/06,울산,북구,울산북구,0.337,0,0,0,0.477,0,0,0.414004914,0,0,0,0.585995086,0,0,0.186,한국갤럽조사연구소,"ubc울산방송, 울산mbc",유선RDD,전화면접,506,13.5,2.47,3
2016/04/04,2016/04/05,2016/04/06,울산,울주군,울산울주군,0.227,0.117,0.042,0,0.385,0,0,0.294422827,0.151750973,0.054474708,0,0.499351492,0,0,0.229,한국갤럽조사연구소,"ubc울산방송, 울산mbc",유선RDD,전화면접,504,15.4,2.15,3
2016/04/05,2016/04/06,2016/04/06,세종,세종특별자치시,세종세종특별자치시,0.352,0.072,0.046,0,0.345,0,0,0.43190184,0.088343558,0.056441718,0,0.423312883,0,0,0.185,밀워드브라운,조선일보,유선RDD,전화면접,509,12.4,1.6,2
