"","date","region","party","mean_rate","lower_rate","upper_rate","mu","sd"
"mu[1]",2016-03-10,"세종세종특별자치시","새누리당",44.3680445614706,44.0585833024603,44.711657680271,44.3671521199861,0.0888519209681815
"mu[2]",2016-03-11,"세종세종특별자치시","새누리당",44.3296068094508,41.2146683617463,47.720266287874,44.3286282365851,0.824648277628989
"mu[3]",2016-03-12,"세종세종특별자치시","새누리당",44.2929507896954,39.5137771074985,48.7361189914813,44.2937755154273,1.14484805292717
"mu[4]",2016-03-13,"세종세종특별자치시","새누리당",44.2341189837893,39.0115611427434,49.4638244808004,44.2502741749342,1.35186321125526
"mu[5]",2016-03-14,"세종세종특별자치시","새누리당",44.2165900194703,38.9134085625971,50.1361995093389,44.2280039445315,1.49472778621864
"mu[6]",2016-03-15,"세종세종특별자치시","새누리당",44.165216805657,37.4519722453616,49.8942733857779,44.1814229935105,1.62219706036094
"mu[7]",2016-03-16,"세종세종특별자치시","새누리당",44.1498461065115,36.2644041236969,50.0864918401281,44.1344360421963,1.6958123218402
"mu[8]",2016-03-17,"세종세종특별자치시","새누리당",44.0410484549884,38.0569428650015,50.5493609054658,44.0471529039588,1.72245265329136
"mu[9]",2016-03-18,"세종세종특별자치시","새누리당",43.9802348956359,36.5764019910722,51.7089705898789,44.0078273626671,1.76533407626585
"mu[10]",2016-03-19,"세종세종특별자치시","새누리당",44.0058201214878,37.0363626564656,52.0044847020427,44.0088499118471,1.73926554477977
"mu[11]",2016-03-20,"세종세종특별자치시","새누리당",43.9315502887728,37.4110890519272,50.3276770521202,43.9438527781898,1.70023432319747
"mu[12]",2016-03-21,"세종세종특별자치시","새누리당",43.9086485209722,37.3339488584452,50.2586903678129,43.9077701026085,1.63168061177717
"mu[13]",2016-03-22,"세종세종특별자치시","새누리당",43.8261755016248,38.0736117323264,49.255605454221,43.8524779140273,1.57485770350161
"mu[14]",2016-03-23,"세종세종특별자치시","새누리당",43.7983641370189,38.5941071873121,48.9470082319879,43.8280156572566,1.45117071912056
"mu[15]",2016-03-24,"세종세종특별자치시","새누리당",43.764658679859,38.7606770415059,48.3173304099089,43.7825828824488,1.29616997612025
"mu[16]",2016-03-25,"세종세종특별자치시","새누리당",43.6973850099655,38.5430950162212,48.2524940079999,43.6933766552491,1.26636509347464
"mu[17]",2016-03-26,"세종세종특별자치시","새누리당",43.550087760415,38.9664506004459,47.9089959965982,43.5480165283459,1.20219324499843
"mu[18]",2016-03-27,"세종세종특별자치시","새누리당",43.4616776838995,38.7965789721464,47.6572593487472,43.459969880282,1.19802494428107
"mu[19]",2016-03-28,"세종세종특별자치시","새누리당",43.3682145105699,38.1870311846943,48.0394757471228,43.3579654721714,1.1652027442828
"mu[20]",2016-03-29,"세종세종특별자치시","새누리당",43.2632061943565,39.9220726956267,47.1829991396268,43.2763202614421,0.971422901004753
"mu[21]",2016-03-30,"세종세종특별자치시","새누리당",43.6669490826264,40.4509078013788,47.1506706365191,43.6784590840744,0.951449717126188
"mu[22]",2016-03-31,"세종세종특별자치시","새누리당",44.1050195320165,40.4950158885207,46.9524851423518,44.1065359253318,0.904350533839833
"mu[23]",2016-04-01,"세종세종특별자치시","새누리당",44.004177560281,40.3291815546303,47.6294924890458,44.0128865852516,0.947626125220301
"mu[24]",2016-04-02,"세종세종특별자치시","새누리당",44.4986652613857,40.4569446754356,48.1627207374093,44.5035546915662,0.901033818946755
"mu[25]",2016-04-03,"세종세종특별자치시","새누리당",44.5698218630827,40.6762786877415,47.6081254306058,44.5693061621831,0.873239914179183
"mu[26]",2016-04-04,"세종세종특별자치시","새누리당",44.079407862395,40.3379185484137,47.6426436179706,44.0707932518972,0.913317190813347
"mu[27]",2016-04-05,"세종세종특별자치시","새누리당",43.7969401426315,40.1584682193467,47.769126089298,43.7986819142825,0.914385262908416
"mu[28]",2016-04-06,"세종세종특별자치시","새누리당",43.474089685792,40.9654818324779,46.1291004186689,43.486016866618,0.737421836957068
"mu[1]1",2016-03-10,"세종세종특별자치시","민주당",9.90635063429012,9.52021660304127,10.2465009442658,9.90632806916459,0.0892105802411012
"mu[2]1",2016-03-11,"세종세종특별자치시","민주당",10.0161185638645,6.88601910028223,13.1840511571458,10.014206523769,0.849734370029686
"mu[3]1",2016-03-12,"세종세종특별자치시","민주당",10.0698045581357,5.59830327715194,14.134642525786,10.105829809099,1.1765045872784
"mu[4]1",2016-03-13,"세종세종특별자치시","민주당",10.219474591476,3.55024717506148,15.2903346185702,10.2244254365119,1.35435882015433
"mu[5]1",2016-03-14,"세종세종특별자치시","민주당",10.3502639982661,5.09578162661498,15.6209329757804,10.3475852272223,1.4810796594975
"mu[6]1",2016-03-15,"세종세종특별자치시","민주당",10.4351094021464,4.99904036505335,17.030915292917,10.421936522743,1.55196597772025
"mu[7]1",2016-03-16,"세종세종특별자치시","민주당",10.5510177199429,4.72301333740024,17.8952446078882,10.5423481749025,1.57431627688353
"mu[8]1",2016-03-17,"세종세종특별자치시","민주당",10.7019150974582,3.77641941820663,16.3063629267805,10.7150943141252,1.61673895971327
"mu[9]1",2016-03-18,"세종세종특별자치시","민주당",10.8295130410565,4.13319921796189,16.4304570580538,10.8246610005825,1.62418294862666
"mu[10]1",2016-03-19,"세종세종특별자치시","민주당",10.9397328033925,4.11148815266386,17.645644563477,10.9534909332712,1.60932431064864
"mu[11]1",2016-03-20,"세종세종특별자치시","민주당",11.0579459661286,5.34670621972187,16.4245458347193,11.0694688209839,1.539527567244
"mu[12]1",2016-03-21,"세종세종특별자치시","민주당",11.1981806181206,4.87820876005795,17.1793873609978,11.1930393238549,1.50650992040534
"mu[13]1",2016-03-22,"세종세종특별자치시","민주당",11.2717242261773,6.53553936234309,15.801404991508,11.2557544245326,1.38891779549601
"mu[14]1",2016-03-23,"세종세종특별자치시","민주당",11.3251416464093,6.3786671151732,15.5958086559113,11.3165549987458,1.22847823010239
"mu[15]1",2016-03-24,"세종세종특별자치시","민주당",11.4518984851179,7.98065699506617,15.3760294070846,11.439846542102,1.00021308152909
"mu[16]1",2016-03-25,"세종세종특별자치시","민주당",12.1321392302962,8.15887737063226,15.8721624817205,12.1498247210796,1.04876523078205
"mu[17]1",2016-03-26,"세종세종특별자치시","민주당",12.8761837266691,9.13046783824845,16.681837444245,12.8746061663446,0.965928452026903
"mu[18]1",2016-03-27,"세종세종특별자치시","민주당",12.5368187585839,8.36703463501426,17.0354709383347,12.5285111795603,1.06970456296024
"mu[19]1",2016-03-28,"세종세종특별자치시","민주당",12.1518106952683,8.5552445746258,16.2001011434286,12.1385065227996,1.006662771924
"mu[20]1",2016-03-29,"세종세종특별자치시","민주당",11.8282060533287,8.49951430519723,15.0573687237345,11.8182501587826,0.83855255878153
"mu[21]1",2016-03-30,"세종세종특별자치시","민주당",10.8144243258209,7.58649540146618,13.4785239539506,10.8100323909312,0.757670927721998
"mu[22]1",2016-03-31,"세종세종특별자치시","민주당",9.24984211863367,6.9350561343764,11.6705544711316,9.25167888736087,0.614829201342564
"mu[23]1",2016-04-01,"세종세종특별자치시","민주당",10.2194947347667,7.30410231837781,12.8575254289331,10.2181845197663,0.69975697934222
"mu[24]1",2016-04-02,"세종세종특별자치시","민주당",10.2091641103676,7.19786943836068,13.0322221286001,10.2119370535096,0.732424600827741
"mu[25]1",2016-04-03,"세종세종특별자치시","민주당",10.057237488838,7.53319316987495,12.5734128742563,10.0542017823745,0.617729299186821
"mu[26]1",2016-04-04,"세종세종특별자치시","민주당",9.54626335268909,7.05899483552133,12.5445919520074,9.54734319018192,0.722927780851573
"mu[27]1",2016-04-05,"세종세종특별자치시","민주당",9.31453823708583,6.48618414012766,12.4663064680056,9.30855345514646,0.800140973169582
"mu[28]1",2016-04-06,"세종세종특별자치시","민주당",9.07972267104871,6.624908872916,11.9298300055048,9.08257680607947,0.718990437173363
"mu[1]2",2016-03-10,"세종세종특별자치시","국민의당",6.65173219775237,6.32783983582139,6.98819565694764,6.65242025916572,0.0911271957013756
