"party","orgs","house"
"d[1]","더불어민주당","조원씨앤아이",-2.40662041306045
"d[2]","더불어민주당","리서치뷰",-0.114327457991378
"d[3]","더불어민주당","리서치앤리서치",1.2847114199195
"d[4]","더불어민주당","한국리서치",0.839887658762244
"d[5]","더불어민주당","리얼미터",1.11437214705737
"d[6]","더불어민주당","입소스",-0.118150879241358
"d[7]","더불어민주당","엠브레인퍼블릭",7.16884445592096
"d[1]","미래통합당","엠브레인퍼블릭",-1.90582136218922
"d[2]","미래통합당","입소스",0.313835567002064
"d[3]","미래통합당","리얼미터",1.55060934851993
"d[4]","미래통합당","조원씨앤아이",2.47046338188221
"d[5]","미래통합당","한국리서치",2.23224419179639
"d[1]","민생당","엠브레인퍼블릭",-0.860755749276897
"d[2]","민생당","한국리서치",-0.0102963758496521
"d[3]","민생당","리얼미터",1.70903064094423
"d[1]","정의당","리얼미터",-8.2077275699462
"d[2]","정의당","조원씨앤아이",-5.59379243495825
"d[3]","정의당","리서치뷰",-4.67386620017274
"d[4]","정의당","엠브레인퍼블릭",-5.66645603065343
"d[5]","정의당","입소스",-1.32638983903272
"d[6]","정의당","한국리서치",-0.651837228030696
"d[7]","정의당","리서치앤리서치",1.00025299280532
"d[1]","국민의당","한국리서치",-4.86407969533456
"d[2]","국민의당","엠브레인퍼블릭",-4.4577687365458
"d[3]","국민의당","리얼미터",-1.26091955726907
"d[4]","국민의당","입소스",0.765246663610779
"d[1]","자유공화당","엠브레인퍼블릭",0.159003491534582
"d[2]","자유공화당","한국리서치",-0.156752098901827
"d[3]","자유공화당","리서치앤리서치",0.0806865781549415
"d[4]","자유공화당","리얼미터",1.14473058349636
"d[1]","자유한국당","한국리서치",-6.65634979893399
"d[2]","자유한국당","리서치뷰",1.4066584474414
"d[1]","민중당","한국리서치",-0.995146596505474
"d[2]","민중당","리얼미터",0.116156693574912
"d[1]","바른미래당","한국리서치",-2.63123901383389
"d[2]","바른미래당","조원씨앤아이",-2.72293631584569
"d[3]","바른미래당","리서치뷰",-1.49725601202275
"d[4]","바른미래당","리서치앤리서치",0.412004754757866
"d[1]","대안신당","리서치앤리서치",-0.344724429942898
"d[2]","대안신당","한국리서치",-0.372517290070644
"d[3]","대안신당","조원씨앤아이",0.547214592312505
"d[1]","민주평화당","한국리서치",-0.553846441893856
"d[2]","민주평화당","리서치앤리서치",-0.404158602209472
"d[3]","민주평화당","리서치뷰",0.163204324331918
"d[4]","민주평화당","조원씨앤아이",1.08234617509652
"d[1]","새로운보수당","리서치앤리서치",-0.4169828153469
"d[2]","새로운보수당","한국리서치",-0.779635683772931
